name;url;Company;Company_url;Posted_Time;Posted_Time_url;Alter_Name;Alter_Name_url;Vacancy_Place;Salary;Education_Degree;Vacancy_Time;Vacancy_Id;Skills__name;
;;;;;;;;;;;;35;Spring Data;
;;;;;;;;;;;;35;programming;
;;;;;;;;;;;;35;software development;
Rəqəmsal Bankçılıq və Biznes Proseslərin İnkişafı departamentinin sistem analitiki;https://busy.az/vacancy/119783/reqemsal-bankciliq-ve-biznes-proseslerin-inkisafi-departamentinin-sistem-analitiki;Bank Respublika ASC;https://busy.az/vacancy/119783/reqemsal-bankciliq-ve-biznes-proseslerin-inkisafi-departamentinin-sistem-analitiki;33 gün əvvəl;https://busy.az/vacancy/119783/reqemsal-bankciliq-ve-biznes-proseslerin-inkisafi-departamentinin-sistem-analitiki;İş elanı aktual deyil. Yeni vakansiyaları yoxlayın.;https://busy.az/vacancies;Bakı;Razılaşma yolu ilə;Ali;Tam ştat (full time);36;Microsoft Office;
;;;;;;;;;;;;36;Microsoft Word;
;;;;;;;;;;;;36;Microsoft Excel;
;;;;;;;;;;;;36;Microsoft Outlook;
;;;;;;;;;;;;36;proqram təminatı;
;;;;;;;;;;;;36;software development;
;;;;;;;;;;;;36;programming;
;;;;;;;;;;;;36;программирование;
;;;;;;;;;;;;36;biznes analitika;
;;;;;;;;;;;;36;biznes proseslər;
;;;;;;;;;;;;36;biznes proseslərinin idarə olunması;
;;;;;;;;;;;;36;business intelligence;
;;;;;;;;;;;;36;business analytics;
;;;;;;;;;;;;36;business research;
Application Support/SQL Developer;https://busy.az/vacancy/119657/application-supportsql-developer;Ateshgah Sigorta;https://busy.az/vacancy/119657/application-supportsql-developer;34 gün əvvəl;https://busy.az/vacancy/119657/application-supportsql-developer;İş elanı aktual deyil. Yeni vakansiyaları yoxlayın.;https://busy.az/vacancies;Bakı;Razılaşma yolu ilə;Ali;Tam ştat (full time);37;SQL;
;;;;;;;;;;;;37;English language;
;;;;;;;;;;;;37;ingilis dili;
;;;;;;;;;;;;37;software development;
;;;;;;;;;;;;37;programming;
;;;;;;;;;;;;37;proqramlaşdırma;
;;;;;;;;;;;;37;proqram təminatı;
Proqramist;https://busy.az/vacancy/119614/proqramist;VMF;https://busy.az/vacancy/119614/proqramist;34 gün əvvəl;https://busy.az/vacancy/119614/proqramist;İş elanı aktual deyil. Yeni vakansiyaları yoxlayın.;https://busy.az/vacancies;Kişi;25 - 35;Tam ştat (full time);Bakı;38;proqramlaşdırma;
;;;;;;;;;;;;38;programming;
;;;;;;;;;;;;38;software development;
;;;;;;;;;;;;38;proqram təminatı;
Senior Java Developer;https://busy.az/vacancy/119339/senior-java-developer;Golden Pay;https://busy.az/vacancy/119339/senior-java-developer;38 gün əvvəl;https://busy.az/vacancy/119339/senior-java-developer;İş elanı aktual deyil. Yeni vakansiyaları yoxlayın.;https://busy.az/vacancies;Bakı;09.02.2024;Razılaşma yolu ilə;Tam ştat (full time);39;SQL;
;;;;;;;;;;;;39;proqramlaşdırma;
;;;;;;;;;;;;39;OOP;
;;;;;;;;;;;;39;Spring Boot;
;;;;;;;;;;;;39;Spring Data;
;;;;;;;;;;;;39;Mysql;
;;;;;;;;;;;;39;software development;
;;;;;;;;;;;;39;JAVA;
;;;;;;;;;;;;39;programming;
;;;;;;;;;;;;39;proqram təminatı;
